Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",144.996,637.347,518.217,148.804,72.6417,26.0525,0.403914,49.7057,105.724,119.658,108.151,18.2097,161.722,5.97917,4.23411,0.512127,8.90303,7.83088,2.89324,0.287146,0.169689,0.253742,0.668744,0.41304,0.626728,0.428767,1.03977,0.339582,3.21769,0.318619,,-0.731444,135.184,59.877,181.034,-0.731444,-2.34,60.14010775089264,-9.344637632369995,7.44139,1.909999966621399,,,,,,,1210.6,8.348965517,1210.6,8.348965517,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",151.337,659.888,598.966,174.764,102.721,35.3989,5.51447,31.1298,104.148,96.5107,47.9591,5.00035,112.498,6.40011,5.70168,0.861605,7.06243,36.889,8.51921,0.291777,0.0726777,0.170481,0.42631,0.34767,0.525208,0.369171,0.872877,0.233431,7.00122,0.311545,,2.88506,108.036,30.065,135.835,2.88506,3.65,30.756072759628296,10.65634298324585,6.56076,3.0199999809265137,,,,,,,1015.2,6.723178807,1015.2,6.723178807,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",149.107,662.837,561.3,160.067,78.1786,30.9422,3.13212,47.8136,121.902,119.344,91.3177,13.5098,157.237,4.78496,3.62107,0.740397,8.78539,25.577,8.24592,0.285171,0.137768,0.237218,0.580766,0.387534,0.607009,0.412902,0.994543,0.321837,5.97121,0.311926,,0.677183,132.053,53.7339,168.946,0.677183,0,54.84090220928192,-14.075693130493164,6.42706,1.2200000286102295,,,,,,,1208.2,8.108724832,1208.2,8.108724832,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Cal Raleigh","SEA",149.952,623.665,538.593,120.891,58.7164,22.3582,0.845124,38.971,81.9284,102.941,73.9274,6.88507,172.211,6.2058,4.43533,0.503274,6.3448,7.3192,2.61889,0.224456,0.118537,0.276127,0.429285,0.322587,0.486178,0.342999,0.808765,0.261721,3.60698,0.24686,,-0.479829,88.8532,15.1624,127.355,-0.479829,14.95,19.627436190843582,21.703317642211914,6.42485,18.010000228881836,,,,,,,819.6,5.464,819.6,5.464,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Juan Soto","NYM",154.655,677.748,547.568,148.009,82.9265,26.4217,0.398691,38.2621,107.429,99.5012,121.104,8.88704,123.083,4.15478,3.8398,1.08132,13.8203,16.6918,6.06773,0.270302,0.178686,0.181606,0.983919,0.403844,0.529641,0.397493,0.933484,0.259338,3.96445,0.281357,,-0.462185,126.544,46.4633,161.182,-0.462185,-2.99,48.68320119380951,-10.34478211402893,6.22953,4.619999885559082,,,,,,,1103.9,7.121935483,1103.9,7.121935483,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",151.447,658.92,597.576,163.372,103.409,25.765,6.15141,28.0463,95.4446,87.1019,47.6746,3.63811,145.8,9.22702,3.88657,0.555295,10.7891,25.5111,6.59595,0.27339,0.0723527,0.221272,0.326986,0.334576,0.477894,0.347485,0.812471,0.204504,6.69256,0.316464,,1.36675,96.2759,18.4194,130.445,1.36675,0.52,25.010639309883118,2.6663577556610107,5.15204,9.630000114440918,,,,,,,888.4,5.883443708,888.4,5.883443708,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152.604,659.23,582.654,155.881,93.7392,34.6364,2.69363,24.8122,93.9935,80.0061,64.9281,3.18427,139.911,5.70311,5.41031,0.534136,12.2412,20.4849,5.22814,0.267537,0.0984908,0.212234,0.464068,0.34388,0.463983,0.347382,0.807863,0.196446,5.5784,0.309606,,0.891874,96.2657,18.3726,125.286,0.891874,-1.33,20.538846731185913,5.735000014305115,5.00958,12.180000305175781,,,,,,,881.2,5.759477124,881.2,5.759477124,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",148.376,645.778,564.821,154.104,93.28,27.5019,4.1292,29.1929,99.2588,85.1342,69.6125,3.07945,128.766,6.2013,4.18884,0.954392,12.446,23.2668,7.03521,0.272837,0.107796,0.199396,0.540614,0.356559,0.491205,0.363458,0.847764,0.218368,5.91796,0.303882,,0.676343,102.731,26.4269,138.304,0.676343,4.32,29.9937544465065,-2.740072250366211,4.9866,14.199999809265137,,,,,,,926.1,6.257432432,926.1,6.257432432,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Vladimir Guerrero Jr.","TOR",152.911,662.465,578.518,173.122,109.581,30.8355,1.1572,31.548,97.5791,97.9683,71.9027,7.00166,87.398,7.13056,4.28786,0.626074,16.5043,5.84855,2.25925,0.29925,0.108538,0.131929,0.822704,0.380991,0.520149,0.383968,0.90114,0.220899,3.45541,0.305208,,-0.954438,116.416,38.141,149.648,-0.954438,-0.37,37.810732662677765,-12.3633052110672,4.93641,18.1200008392334,,,,,,,1029,6.725490196,1029,6.725490196,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Corey Seager","TEX",123.629,528.903,456.002,125.651,73.4166,23.6267,0.669592,27.9377,71.2035,83.3416,59.8588,8.46927,99.532,4.63155,4.26104,0.483704,10.3132,1.75217,0.706262,0.275549,0.113175,0.188186,0.601403,0.362344,0.514098,0.370385,0.876442,0.23855,2.37381,0.293615,,-0.793299,87.1125,24.6186,141.094,-0.793299,-0.09,24.823377668857574,3.9848009645938873,4.80993,96.56999969482422,,,,,,,784.1,6.323387096,784.1,6.323387096,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Ketel Marte","ARI",140.134,612.626,534.295,147.632,85.7175,30.9314,1.81923,29.1642,85.8914,94.9201,66.7671,4.39107,100.676,6.29435,4.24959,0.633544,12.7942,4.84128,1.7935,0.276312,0.108985,0.164336,0.663185,0.360843,0.504767,0.36946,0.86561,0.228455,3.65164,0.289863,,-0.78543,100.442,28.0553,137.693,-0.78543,-0.25,26.582773745059967,-0.1787068322300911,4.78682,32.29999923706055,,,,,,,891.6,6.368571428,891.6,6.368571428,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"William Contreras","MIL",143.818,599.362,523.347,137.681,89.6165,27.1064,0,20.9582,71.5983,80.7975,66.333,2.71268,119.048,4.62814,4.09191,0.961661,14.999,5.33107,2.09606,0.263078,0.110673,0.198624,0.557196,0.348667,0.435012,0.340865,0.783678,0.171934,2.77106,0.301272,,-0.834331,84.3522,13.533,119.843,-0.834331,5.49,13.261672794818878,12.620455741882324,4.68827,54.90999984741211,,,,,,,742.4,5.155555555,742.4,5.155555555,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
