Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",15.0587,7.24293,14.9414,2.60002,29.369,29.369,0,0,,188.133,738.186,141.564,58.23,54.35,15.6506,36.6798,0.490609,7.2465,232.848,11.1391,1.75471,6.34813,0.748703,0.315432,0.049689,0.2657434530556202,0.203906,0.947434,0.282468,0.767681,,,2.4417,6.81834,6.39166,6.800000190734863,,,,,,,1159.2,6.165957446808511,1066,5.670212765957447,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.3764,8.53463,14.3581,3.08983,29.795,29.795,0,0,,184.175,743.384,149.479,67.57,63.23,17.0501,47.1468,0.45782,5.05768,219.416,10.7221,2.3039,4.6539,0.833182,0.295159,0.0634218,0.2317369058728218,0.216267,1.0676,0.291236,0.747043,,,2.80628,5.79073,4.88444,10.210000038146973,,,,,,,1047.1000000000004,5.690760869565219,981,5.331521739130435,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",14.2201,7.58178,14.9514,3.06978,28.979,28.979,0,0,,184.997,749.573,162.926,68.2,63.1,13.8348,43.4581,0.47024,5.90068,188.457,9.16832,2.11421,4.33652,0.673054,0.251419,0.0579772,0.19344183057546616,0.23268,1.11561,0.299426,0.738891,,,2.87035,5.13752,4.96138,25.6299991607666,,,,,,,1002,5.416216216216216,972,5.254054054054054,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Garrett Crochet","BOS",13.073,8.26191,14.3611,3.26023,28.873,28.873,0,0,,180.429,727.901,149.814,70.32,65.36,20.5957,41.2617,0.522997,6.09431,214.087,10.6789,2.05818,5.18851,1.02734,0.294115,0.0566859,0.23742909356951714,0.220139,1.05901,0.289817,0.744296,,,3.03338,5.07918,4.37896,11.829999923706055,,,,,,,970.7,5.392777777777778,914,5.0777777777777775,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.5346,8.92977,15.9624,3.36008,29.881,29.881,0,0,,192.772,791.348,177.579,77.34,71.97,16.3475,47.0162,0.838624,5.78664,191.554,8.94314,2.19506,4.07422,0.763219,0.242061,0.0594128,0.1826477348804474,0.240444,1.16508,0.303841,0.730039,,,3.07194,4.98595,4.47817,59.709999084472656,,,,,,,993.6000000000001,5.14818652849741,982,5.0880829015544045,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Chris Sale","ATL",10.8593,7.67428,12.3245,3.57014,25.486,25.486,0,0,,156.12,643.517,129.435,66.19,61.93,16.8764,41.6387,0.412046,11.9801,202.963,11.7004,2.40039,4.87437,0.972892,0.315396,0.0647049,0.2506908029317856,0.219419,1.09578,0.304164,0.711333,,,2.97068,4.47858,3.19625,38.849998474121094,,,,,,,853.9000000000002,5.47371794871795,803,5.147435897435898,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",13.2198,8.40791,14.6665,3.39,29.303,29.303,0,0,,183.133,734.193,150.998,73.58,68.98,24.2547,36.6791,0.493197,7.41827,188.746,9.27586,1.80258,5.14588,1.19199,0.25708,0.0499583,0.20712138339877129,0.218807,1.02481,0.265656,0.742237,,,3.51798,4.36003,4.13224,35.29999923706055,,,,,,,912.4,4.9857923497267755,849,4.639344262295082,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Max Fried","NYY",13.5879,7.64026,14.329,3.24015,28.608,28.608,0,0,,179.436,738.607,151.278,69.47,64.6,14.5047,55.0448,0.471226,9.36366,172.653,8.65981,2.76089,3.1366,0.727514,0.233756,0.0745252,0.15923046320676804,0.224382,1.14984,0.280825,0.735703,,,3.33844,4.23393,4.42385,50.650001525878906,,,,,,,901.5000000000001,5.0363128491620115,854,4.770949720670391,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",12.494,8.26284,12.5993,3.37019,29.306,29.306,0,0,,171.097,702.251,132.017,68.39,64.07,18.7154,63.0494,0.585155,4.44369,202.333,10.6431,3.31651,3.20912,0.984462,0.28812,0.0897819,0.1983385682106018,0.207979,1.14009,0.273866,0.750164,,,3.37543,4.2149,3.98438,74.66000366210938,,,,,,,891.5,5.213450292397661,811,4.742690058479532,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Hunter Greene","CIN",10.565,8.72033,12.3269,3.59004,26.933,26.933,0,0,,160.82,656.511,129.545,68.35,64.15,21.1816,45.9528,0.426749,6.42289,202.973,11.359,2.57166,4.41699,1.18539,0.309169,0.0699954,0.2391740083694458,0.214431,1.09127,0.285182,0.734677,,,3.30018,4.18015,3.30906,107.12999725341797,,,,,,,845.1000000000001,5.249068322981367,782,4.857142857142857,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Jesús Luzardo","PHI",12.0854,8.86698,13.5413,3.68024,29.234,29.234,0,0,,175.146,725.419,152.74,77.31,71.62,20.7679,51.3236,0.491238,7.01389,193.873,9.96232,2.6373,3.77747,1.06717,0.267257,0.0707502,0.19650691747665405,0.228968,1.16511,0.29169,0.724355,,,3.462,4.04056,3.25993,73.44000244140625,,,,,,,852.9000000000001,4.8737142857142866,816,4.662857142857143,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Cole Ragans","KCR",10.6578,7.91018,11.3985,3.40008,26.132,26.132,0,0,,153.42,626.315,116.58,61.87,57.96,19.3703,50.0357,0.502238,6.96515,194.202,11.3924,2.93522,3.88126,1.13631,0.31007,0.079889,0.2301812246441841,0.204773,1.08601,0.27326,0.75088,,,3.35944,3.89889,3.43482,46.630001068115234,,,,,,,811.3,5.302614379084967,735,4.803921568627451,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Framber Valdez","DET",13.0316,8.59756,15.4783,3.34,28.683,28.683,0,0,,186.036,768.221,160.229,74.58,69.04,14.2565,59.4109,0.511774,9.98192,169.595,8.20462,2.87416,2.85461,0.689698,0.220763,0.0773357,0.14342764765024185,0.229282,1.18063,0.283454,0.726458,,,3.42714,3.84772,4.22563,84.91000366210938,,,,,,,921.2,4.952688172043011,881,4.736559139784946,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Yoshinobu Yamamoto","LAD",12.9011,6.28916,12.3874,3.36014,26.408,26.408,0,0,,160.279,656.598,132.764,64.1,59.84,15.961,51.2559,0.387826,4.0898,177.832,9.98566,2.87813,3.4695,0.896245,0.270839,0.0780629,0.19277622550725937,0.220812,1.14812,0.286661,0.741737,,,3.2466,3.83806,3.68963,26.959999084472656,,,,,,,832.4000000000001,5.202500000000001,783,4.89375,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Logan Gilbert","SEA",11.4589,8.35792,12.367,3.57004,27.887,27.887,0,0,,164.267,661.96,133.402,69.72,65.16,24.381,38.5995,0.516873,6.07984,200.133,10.9651,2.11482,5.18487,1.3358,0.302334,0.0583108,0.24402330815792084,0.216112,1.04708,0.277571,0.741879,,,3.44393,3.8129,3.28932,35.400001525878906,,,,,,,837.6000000000001,5.107317073170733,773,4.713414634146342,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Jacob deGrom","TEX",10.8381,7.93193,12.1146,3.45012,26.002,26.002,0,0,,157.012,629.695,124.218,63.9,60.19,19.8775,40.3096,0.452962,2.53253,174.382,9.99567,2.31056,4.32607,1.13939,0.276931,0.0640145,0.2129168137907982,0.211668,1.04787,0.265772,0.736124,,,3.37823,3.77924,3.4841,48.869998931884766,,,,,,,812.4,5.174522292993631,744,4.738853503184713,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"George Kirby","SEA",11.2106,8.53031,12.449,3.70025,27.79,27.79,0,0,,163.935,671.184,148.77,72.03,67.4,19.5803,34.5463,0.444762,6.98897,159.257,8.74317,1.89658,4.60995,1.07495,0.237277,0.0514707,0.1858067475259304,0.236275,1.11823,0.286572,0.713814,,,3.50502,3.77696,3.07142,65.95999908447266,,,,,,,772.2000000000002,4.708536585365855,752,4.585365853658536,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Hunter Brown","HOU",11.831,9.33102,14.0941,3.72997,29.257,29.257,0,0,,178.264,743.068,153.988,78.71,73.88,19.6341,61.2552,0.547557,6.84786,188.488,9.51617,3.09259,3.07709,0.991263,0.253662,0.0824355,0.17122607678174973,0.228142,1.20744,0.287793,0.727186,,,3.59836,3.70539,3.24273,36.880001068115234,,,,,,,842.8000000000001,4.734831460674157,802,4.50561797752809,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Sonny Gray","BOS",11.1237,8.84535,12.7992,3.71017,27.974,27.974,0,0,,166.553,687.781,149.423,73.96,68.66,19.8486,45.4309,0.421171,4.80341,169.294,9.1481,2.45494,3.7264,1.07256,0.246145,0.0660544,0.18009066581726074,0.234372,1.16992,0.288968,0.723631,,,3.55631,3.5566,3.05427,134.85000610351562,,,,,,,790.4,4.732934131736527,763,4.568862275449102,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Joe Ryan","MIN",9.96087,10.0299,13.3244,4.13007,27.989,27.989,0,0,,168.077,695.924,150.438,82.49,77.13,26.9288,40.6125,0.440847,7.41737,186.163,9.96843,2.17467,4.58387,1.44195,0.267504,0.0583577,0.2091466188430786,0.232196,1.13669,0.284059,0.707926,,,3.86003,3.52923,2.27307,79.79000091552734,,,,,,,749.0999999999999,4.4589285714285705,717,4.267857142857143,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Zack Wheeler","PHI",9.73807,5.60698,10.2177,3.18024,20.762,20.762,0,0,,129.33,522.202,99.1348,48.98,45.7,14.8069,37.5312,0.319817,5.239,154.747,10.7688,2.61177,4.12317,1.0304,0.296337,0.071871,0.22446554154157639,0.206776,1.05672,0.272133,0.756329,,,3.22255,3.47717,3.27109,114.36000061035156,,,,,,,693.6999999999999,5.37751937984496,631,4.891472868217054,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chase Burns","CIN",7.93364,8.50689,4.8068,3.43829,29.55,23.392,0,0.6509,,129.544,528.053,104.063,52.74,49.49,15.7229,39.613,0.865862,2.14834,160.522,11.1522,2.75209,4.05227,1.09234,0.303989,0.075017,0.22897206246852875,0.213992,1.10909,0.284925,0.747435,,,3.2018,3.38343,2.79299,98.43000030517578,,,,,,,694.8000000000001,5.344615384615385,642,4.938461538461539,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Ranger Suarez","BOS",10.9133,8.63358,13.0427,3.77985,27.056,27.056,0,0,,164.721,687.895,156.004,74.5,69.18,16.7652,44.381,0.606058,7.31088,143.969,7.86614,2.42488,3.24393,0.916016,0.209289,0.0645171,0.1447717770934105,0.245211,1.21651,0.292846,0.711562,,,3.65168,3.26092,2.92275,181.10000610351562,,,,,,,741.3000000000001,4.492727272727273,739,4.4787878787878785,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"MacKenzie Gore","TEX",9.96809,9.15817,11.2228,3.85993,27.644,27.644,0,0,,155.661,652.507,133.368,71.54,66.76,18.6573,55.4646,0.453406,6.51818,173.556,10.0346,3.20685,3.12912,1.07873,0.265983,0.0850023,0.1809803694486618,0.225847,1.2131,0.287993,0.720859,,,3.65795,3.12363,2.54443,163.22000122070312,,,,,,,736.9000000000001,4.723717948717949,695,4.455128205128205,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Kevin Gausman","TOR",11.4566,9.47194,14.4951,4.16018,28.917,28.917,0,0,,177.807,742.381,162.308,87.65,82.19,24.9429,54.0708,0.611995,3.00217,173.222,8.76791,2.73688,3.20361,1.26253,0.233333,0.0728342,0.16049833595752716,0.236839,1.21693,0.281981,0.709411,,,3.97331,3.07247,2.29277,115.80000305175781,,,,,,,763.5,4.28932584269663,740,4.157303370786517,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Freddy Peralta","NYM",10.9282,8.78016,12.0332,3.82021,28.147,28.147,0,0,,162.203,675.563,130.97,73.38,68.85,21.7455,62.3077,0.424711,6.92131,178.505,9.90456,3.45721,2.8649,1.20657,0.264232,0.0922308,0.17200136929750443,0.216004,1.19158,0.268972,0.73632,,,3.95737,3.03173,2.83134,56.58000183105469,,,,,,,738.5999999999998,4.559259259259258,675,4.166666666666667,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Nick Pivetta","SDP",10.9644,8.96646,13.1817,3.8502,27.735,27.735,0,0,,167.485,688.481,141.067,76.6,71.65,25.5499,48.9039,0.659187,3.40657,170.495,9.16174,2.62791,3.48632,1.37295,0.247639,0.0710316,0.17660760134458542,0.221743,1.13425,0.262463,0.735214,,,4.01934,3.00693,2.73288,94.6500015258789,,,,,,,733.4,4.391616766467066,681,4.077844311377246,,,,,,,,,,,,,,,,,,,"Nick Pivetta","15454",601713
"Shohei Ohtani","LAD",9.12447,5.15367,6.92825,3.2502,21.721,21.721,0,0,,113.033,461.488,88.2591,43.77,40.82,12.6626,37.9454,0.289078,3.02765,142.241,11.3256,3.02132,3.74857,1.00823,0.308222,0.0822239,0.22599825263023376,0.209883,1.11653,0.284612,0.759927,,,3.16213,2.9871,2.7294,1.2200000286102295,,,,,,,608.5,5.384955752212389,557,4.929203539823009,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Blake Snell","LAD",9.95671,5.5829,9.55394,3.60011,22.033,22.033,0,0,,128.421,532.875,103.308,55.07,51.37,13.8074,50.767,0.428171,2.79583,148.826,10.43,3.55785,2.93156,0.967651,0.279289,0.0952699,0.18401941657066345,0.215534,1.19976,0.282622,0.73476,,,3.46633,2.88974,2.52702,146.85000610351562,,,,,,,643.2,5.025,594,4.640625,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Eury Pérez","MIA",8.32647,9.78824,9.72378,3.98001,26.743,26.743,0,0,,143.502,595.138,120.605,67.9,63.46,20.1761,45.748,0.438839,5.71883,149.091,9.35055,2.86917,3.25897,1.26539,0.250516,0.0768695,0.17364608496427536,0.221835,1.15924,0.268237,0.712878,,,3.96096,2.74458,2.18625,82.12999725341797,,,,,,,647.0000000000001,4.493055555555556,602,4.180555555555555,,,,,,,,,,,,,,,,,,,"Eury Perez","27768",691587
