Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",144.451,635.909,516.798,148.322,72.3105,25.9542,0.386646,49.6706,105.032,120.086,108.167,18.1418,161.851,5.97784,4.21474,0.490691,8.87775,7.66032,2.84139,0.287002,0.170098,0.254519,0.668312,0.413231,0.627056,0.428969,1.04029,0.340054,3.18393,0.318753,,-0.742686,134.984,59.846,181.173,-0.742686,-2.34,60.095582008361816,-9.31830906867981,7.43446,1.9700000286102295,,,,,,,1206,8.375,1206,8.375,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",150.226,655.975,595.431,173.549,102.038,35.1314,5.45768,30.9217,103.613,95.5219,47.6199,4.95363,112.17,6.43113,5.66176,0.831087,7.07722,36.3958,8.45549,0.291468,0.0725941,0.170998,0.424532,0.347405,0.524597,0.368841,0.872002,0.233128,6.99652,0.311413,,2.81874,107.219,29.7107,135.608,2.81874,3.65,30.348464488983154,10.604907512664795,6.50001,2.890000104904175,,,,,,,1008.8,6.725333333,1008.8,6.725333333,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",149.432,623.67,538.608,120.753,58.609,22.3239,0.828139,38.9919,81.8724,103.314,73.921,6.89653,172.65,6.22685,4.43039,0.484133,6.35249,7.21041,2.58332,0.224195,0.118526,0.276829,0.428156,0.322377,0.485899,0.342799,0.808276,0.261704,3.59278,0.246717,,-0.48633,88.7524,15.061,127.217,-0.48633,14.95,19.519651859998703,21.679899215698242,6.41144,18.6299991607666,,,,,,,819.6,5.50067114,819.6,5.50067114,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",147.003,655.805,555.602,158.285,77.2733,30.5584,3.06436,47.3889,120.593,118.391,90.0989,13.3253,155.649,4.73667,3.5876,0.712107,8.65676,25.1506,8.11685,0.284889,0.137387,0.237341,0.578859,0.38702,0.606799,0.412608,0.993819,0.32191,5.96749,0.311373,,0.657889,130.495,53.007,168.744,0.657889,0,54.09018534421921,-13.877077102661133,6.34664,1.2300000190734863,,,,,,,1187.7,8.079591836,1187.7,8.079591836,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",153.36,672.852,543.705,146.94,82.3784,26.1765,0.376441,38.0082,106.614,98.7883,120.171,8.79496,122.194,4.10533,3.81821,1.0528,13.7223,16.4355,5.95177,0.270256,0.178599,0.181606,0.983441,0.403715,0.529504,0.397399,0.933219,0.259247,3.70801,0.281243,,-0.456457,125.579,46.0764,161.117,-0.456457,-2.99,48.28267526626587,-10.283197164535522,6.17818,4.489999771118164,,,,,,,1097.4,7.172549019,1097.4,7.172549019,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",150.217,653.966,593.082,162.076,102.51,25.5624,6.08451,27.9189,94.6963,86.7907,47.3474,3.60127,145.094,9.15402,3.85491,0.527867,10.7172,25.1764,6.52895,0.273277,0.0724004,0.221868,0.326323,0.334503,0.478119,0.347536,0.812622,0.204842,6.68308,0.316464,,1.33559,95.579,18.3079,130.48,1.33559,0.52,24.8286292552948,2.648925542831421,5.11419,10.65999984741211,,,,,,,882.9,5.886,882.9,5.886,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",151.997,654.891,578.76,154.87,93.0971,34.4014,2.65729,24.7145,93.3866,79.5553,64.5471,3.15069,139.21,5.70545,5.37121,0.506808,12.1668,20.1645,5.15977,0.26759,0.0985617,0.21257,0.463667,0.344023,0.46432,0.347582,0.808343,0.19673,5.56598,0.309742,,0.862298,95.7386,18.3582,125.424,0.862298,-1.33,20.486420571804047,5.706897616386414,4.98606,12.9399995803833,,,,,,,876.7,5.767763157,876.7,5.767763157,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",146.969,643.771,563.288,153.456,93.0367,27.3469,4.07992,28.9923,98.4451,84.4858,69.15,3.0547,128.599,6.22131,4.18177,0.929514,12.3898,23.0469,6.97229,0.272428,0.107414,0.199759,0.537717,0.355962,0.489872,0.36272,0.845834,0.217444,5.90281,0.303659,,0.662494,102.025,25.9588,137.799,0.662494,4.32,29.502854824066162,-2.673123359680176,4.93639,15.170000076293945,,,,,,,916.6,6.235374149,916.6,6.235374149,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Vladimir Guerrero Jr.","TOR",153.115,663.068,578.935,172.955,109.503,30.7503,1.13245,31.5696,97.3987,97.7595,72.0919,6.98205,88.066,7.15341,4.28774,0.599657,16.542,5.67919,2.20631,0.298746,0.108725,0.132816,0.818612,0.380698,0.519365,0.383572,0.900063,0.220619,3.42545,0.304981,,-0.967642,116.309,37.9627,149.376,-0.967642,-0.37,37.61984819173813,-12.37930691242218,4.91737,17.90999984741211,,,,,,,1029,6.725490196,1029,6.725490196,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Ketel Marte","ARI",139.768,611.497,533.378,147.183,85.3681,30.8265,1.78936,29.1986,85.6843,94.5497,66.5579,4.36861,100.755,6.31693,4.2429,0.610132,12.7251,4.70491,1.74244,0.275944,0.108844,0.164768,0.66059,0.360457,0.504677,0.369249,0.865134,0.228733,3.63148,0.289413,,-0.788405,100.152,27.899,137.548,-0.788405,-0.25,26.42475861310959,-0.17889302968978882,4.76679,33.11000061035156,,,,,,,887,6.335714285,887,6.335714285,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
